Kaufdatum,20-Apr-2016,10-May-2016,3-Jun-2016,5-Jul-2016,3-Aug-2016,5-Sep-2016,6-Oct-2016,2-Nov-2016,2-Dec-2016,6-Jan-2017,6-Feb-2017,6-Mar-2017,6-Apr-2017,5-May-2017,6-Jun-2017,6-Jul-2017,4-Aug-2017,6-Sep-2017,5-Oct-2017,6-Nov-2017,17-Jan-2018,15-Feb-2018,16-Mar-2018,18-Apr-2018,18-May-2018,18-Jun-2018,17-Jul-2018,17-Aug-2018,18-Sep-2018,5-Oct-2018,16-Oct-2018,5-Nov-2018,5-Dec-2018,5-Jan-2019,5-Feb-2019,5-Mar-2019,5-Apr-2019,4-May-2019,5-Jun-2019,5-Jul-2019,5-Aug-2019,5-Sep-2019,5-Oct-2019,5-Nov-2019,5-Dec-2019,7-Jan-2020,5-Feb-2020,5-Mar-2020,6-Apr-2020,5-May-2020,5-Jun-2020,5-Jul-2020
Fees Bonds, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00, 3.00
Einzahlung Depot, 400.00, 400.00, 400.00, 400.00, 400.00, 400.00, 400.00, 400.00, 400.00, 400.00, 400.00, 400.00, 400.00, 400.00, 400.00, 400.00, 400.00, 400.00, 400.00, 400.00, 400.00, 400.00, 400.00, 400.00, 400.00, 400.00, 400.00, 400.00, 400.00, 400.00, 400.00, 400.00, 400.00, 400.00, 400.00, 400.00, 400.00, 400.00, 400.00, 400.00, 400.00, 400.00, 400.00, 400.00, 400.00, 400.00, 400.00, 400.00, 400.00, 400.00, 400.00, 400.00
Cash flow Bonds,( 301.50),( 301.50),( 301.50),( 300.87),( 299.30),( 301.50),( 299.14),( 301.50),( 301.50),( 297.76),( 296.36),( 301.50),( 296.63),( 301.50),( 301.50),( 287.42),( 293.95),( 301.50),( 294.20),( 301.50),( 293.61),( 289.76),( 295.61),( 301.50),( 301.50),( 293.82),( 301.50),( 292.90),( 301.50),( 293.22),( 301.50),( 301.50),( 301.50),( 288.41),( 284.46),( 301.50),( 286.41),( 301.50),( 301.50),( 288.38),( 281.57),( 303.00),( 287.76),( 303.00),( 303.00),( 287.19),( 281.90),( 303.00),( 287.74),( 303.00),( 303.00),( 286.21)
Cash flow shares,( 101.50),( 101.50),( 101.50),( 101.50),( 101.50),( 101.50),( 101.50),( 101.50),( 101.50),( 101.50),( 101.50),( 101.50),( 101.50),( 101.50),( 101.50),( 101.50),( 101.50),( 101.50),( 101.50),( 101.50),( 101.50),( 101.50),( 101.50),( 101.50),( 101.50),( 101.50),( 101.50),( 101.50),( 101.50),( 101.50),( 101.50),( 101.50),( 101.50),( 101.50),( 101.50),( 101.50),( 101.50),( 101.50),( 101.50),( 103.00),( 103.00),( 103.00),( 103.00),( 103.00),( 103.00),( 103.00),( 103.00),( 103.00),( 103.00),( 103.00),( 103.00),( 103.00)
Cash flow,( 403.00),( 403.00),( 403.00),( 402.37),( 400.80),( 403.00),( 400.64),( 403.00),( 403.00),( 399.26),( 397.86),( 403.00),( 398.13),( 403.00),( 403.00),( 396.75),( 395.45),( 403.00),( 395.70),( 403.00),( 395.11),( 391.26),( 403.00),( 403.00),( 403.00),( 395.32),( 403.00),( 394.40),( 403.00),( 394.72),( 403.00),( 403.00),( 403.00),( 389.91),( 385.96),( 403.00),( 387.91),( 403.00),( 403.00),( 388.38),( 381.57),( 403.00),( 387.76),( 403.00),( 403.00),( 387.19),( 381.90),( 403.00),( 387.74),( 403.00),( 403.00),( 386.21)
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cash in Shares, 101.50, 203.00, 304.50, 406.00, 507.50, 609.00, 710.50, 812.00, 913.50,1 015.00,1 116.50,1 218.00,1 319.50,1 421.00,1 522.50,1 624.00,1 725.50,1 827.00,1 928.50,2 030.00,2 131.50,2 233.00,2 334.50,2 436.00,2 537.50,2 639.00,2 740.50,2 842.00,2 943.50,3 045.00,3 146.50,3 248.00,3 349.50,3 451.00,3 552.50,3 654.00,3 755.50,3 857.00,3 958.50,4 061.50,4 164.50,4 267.50,4 370.50,4 473.50,4 576.50,4 679.50,4 782.50,4 885.50,4 988.50,5 091.50,5 194.50,5 297.50
Cash in Bonds, 301.50, 603.00, 904.50,1 205.37,1 504.67,1 806.17,2 105.30,2 406.80,2 708.30,3 006.07,3 302.42,3 603.92,3 900.56,4 202.06,4 503.56,4 790.98,5 084.93,5 386.43,5 680.63,5 982.13,6 275.74,6 565.50,6 861.10,7 162.60,7 464.10,7 757.92,8 059.42,8 352.32,8 653.82,8 947.04,9 248.54,9 550.04,9 851.54,10 139.95,10 424.41,10 725.91,11 012.32,11 313.82,11 615.32,11 903.70,12 185.27,12 488.27,12 776.03,13 079.03,13 382.03,13 669.22,13 951.12,14 254.12,14 541.86,14 844.86,15 147.86,15 434.08
Fees paid, 3.00, 6.00, 9.00, 12.00, 15.00, 18.00, 21.00, 24.00, 27.00, 30.00, 33.00, 36.00, 39.00, 42.00, 45.00, 48.00, 51.00, 54.00, 57.00, 60.00, 63.00, 66.00, 69.00, 72.00, 75.00, 78.00, 81.00, 84.00, 87.00, 90.00, 93.00, 96.00, 99.00, 102.00, 105.00, 108.00, 111.00, 114.00, 117.00, 120.00, 123.00, 126.00, 129.00, 132.00, 135.00, 138.00, 141.00, 144.00, 147.00, 150.00, 153.00, 156.00
Interest received,-,-,-, 0.63, 2.83, 2.83, 5.20, 5.20, 5.20, 8.93, 14.08, 14.08, 18.94, 18.94, 18.94, 33.02, 40.57, 40.57, 47.87, 47.87, 55.76, 67.50, 73.40, 73.40, 73.40, 81.08, 81.08, 89.68, 89.68, 97.96, 97.96, 97.96, 97.96, 111.05, 128.09, 128.09, 143.18, 143.18, 143.18, 157.80, 179.23, 179.23, 194.47, 194.47, 194.47, 210.28, 231.38, 231.38, 246.64, 246.64, 246.64, 263.42
Cash Invested, 403.00, 806.00,1 209.00,1 611.37,2 012.17,2 415.17,2 815.80,3 218.80,3 621.80,4 021.07,4 418.92,4 821.92,5 220.06,5 623.06,6 026.06,6 422.81,6 818.26,7 221.26,7 616.96,8 019.96,8 415.06,8 806.32,9 209.32,9 612.32,10 015.32,10 410.64,10 813.64,11 208.04,11 611.04,12 005.76,12 408.76,12 811.76,13 214.76,13 604.67,13 990.63,14 393.63,14 781.54,15 184.54,15 587.54,15 975.92,16 357.49,16 760.49,17 148.25,17 551.25,17 954.25,18 341.44,18 723.34,19 126.34,19 514.08,19 917.08,20 320.08,20 706.30
Transactions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SXR8 Value,173.37,167.58,176.16,177.36,182.6,182.65,181.75,180.47,196.88,205.97,200.91,215.64,210.62,208.82,206.54,204.097,200.466,199.73,206.67,213.15,218.72,211.192,215.496,209.48,221.38,232.16,232.15,242.28,240.72,245.75,231.088,232.65,232.86,217,233.5,242.55,252.35,254.55,245.9,262.15,257.35,264.909,265.5,274.59,279.15,289.14,298.59,273.6,238.86,263.42,277.26,282.02
EUNH Value,124.227,124.1,124.5,125.7,127,126.5,126.15,124.23,122.35,123.68,120,121.25,121.2,121.79,122.26,121.77,122.195,122.7,121.97,123.4,121.93,121.392,122.792,123.6,122.66,122.46,122.54,121.64,121.69,120.204,119.82,120.86,122.03,122.52,123.191,123.15,124.93,125.49,127.24,131.27,132.3,134.27,134,131.53,130.82,131.01,132.25,133.96,129.66,129.94,130.224,132.124
SXRT Value,89.59,85.454,88.446,84.2,86.85,88.36,88.82,88.73,89.09,97.52,95.99,100.07,102.71,106.334,107.37,105.29,104.936,104.01,108.92,111.87,109.53,102.984,103.74,104.89,109.85,109.08,107.38,104.71,104.3,105.04,100.06,100.52,98.24,95.16,99.71,104.16,108.6,109,107.34,113.76,107.24,111.64,111.06,118.32,118.4,122.02,121,109.34,89.55,92.86,108.76,110.4
IBCS Value,134.92,136.083,136.16,137.4,139.2,139.4,138.76,137.4,135.64,136.1,135.16,136.33,136.2,136.53,136.91,135.71,137.067,137.35,136.79,138.12,136.68,135.924,135.966,136.1,135.4,135.48,135.78,136.41,134.83,133.41,133.64,133.52,132.44,132.6,134.57,135.53,136.72,137.685,137.58,140.25,141.2,141.53,140.67,140.11,139.681,139.86,140.778,138.03,130.87,135.66,138.699,138.17
IUS7 Value,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101.27,101.86,104.67,103.61,101.45,100.67,102,104.36,104.04,89.43,91.95,95.145,97.55
EUNH Interest per share,,,,€0.00,€0.00,€0.00,€0.00,€0.00,€0.00,€0.00,€0.00,€0.00,€0.00,€0.00,€0.00,€0.43,€0.00,€0.00,€0.00,€0.00,€0.00,€0.00,€0.22,€0.00,€0.00,€0.00,€0.00,€0.00,€0.00,€0.00,€0.00,€0.00,€0.00,€0.00,€0.41,€0.00,€0.00,€0.00,€0.00,€0.00,€0.44,€0.00,€0.00,€0.00,€0.00,€0.00,€0.38,€0.00,€0.00,€0.00,€0.00,€0.00
IBCS Interest per share,,€0.00,€0.00,€0.19,€0.50,€0.00,€0.36,€0.00,€0.00,€0.38,€0.47,€0.00,€0.37,€0.00,€0.00,€0.38,€0.43,€0.00,€0.37,€0.00,€0.36,€0.51,€0.00,€0.00,€0.00,€0.28,€0.00,€0.29,€0.00,€0.26,€0.00,€0.00,€0.00,€0.36,€0.00,€0.00,€0.38,€0.00,€0.00,€0.34,€0.00,€0.00,€0.33,€0.00,€0.00,€0.32,€0.00,€0.00,€0.29,€0.00,€0.00,€0.30
IUS7 Interest per share,,,,,,€0.00,€0.00,€0.00,€0.00,€0.00,€0.00,€0.00,€0.00,€0.00,€0.00,€0.00,€0.00,€0.00,€0.00,€0.00,€0.00,€0.00,€0.00,€0.00,€0.00,€0.00,€0.00,€0.00,€0.00,€0.00,€0.00,€0.00,€0.00,€0.00,€0.00,€0.00,€0.00,€0.00,€0.00,€0.00,€0.37,€0.41,€0.46,€0.40,€0.42,€0.38,€0.36,€0.40,€0.40,€0.33,€0.32,€0.23
SXR8 Bought,0.29,0.30,0.28,0.28,0.27,0.27,0.28,0.28,0.25,0.24,0.25,0.23,0.24,0.24,0.24,0.24,0.25,0.25,0.24,0.23,0.23,0.24,0.23,0.24,0.23,0.22,0.22,0.21,0.21,0.20,0.22,0.21,0.21,0.23,0.21,0.21,0.20,0.20,0.20,0.19,0.19,0.19,0.19,0.18,0.18,0.17,0.17,0.18,0.21,0.19,0.18,0.18
EUNH Bought,1.21,1.21,1.20,1.19,1.18,1.19,1.19,1.21,1.23,1.21,1.25,1.24,1.24,1.23,1.23,1.23,1.23,1.22,1.23,1.22,1.23,1.24,1.22,1.21,1.22,1.22,1.22,1.23,1.23,1.25,1.25,1.24,1.23,1.22,1.22,1.22,1.20,1.20,1.18,1.14,1.13,1.12,1.12,1.14,1.15,1.14,1.13,1.12,1.16,1.15,1.15,1.14
SXRT Bought,0.56,0.59,0.57,0.59,0.58,0.57,0.56,0.56,0.56,0.51,0.52,0.50,0.49,0.47,0.47,0.47,0.48,0.48,0.46,0.45,0.46,0.49,0.48,0.48,0.46,0.46,0.47,0.48,0.48,0.48,0.50,0.50,0.51,0.53,0.50,0.48,0.46,0.46,0.47,0.44,0.47,0.45,0.45,0.42,0.42,0.41,0.41,0.46,0.56,0.54,0.46,0.45
IBCS Bought,1.11,1.10,1.10,1.09,1.08,1.08,1.08,1.09,1.11,1.10,1.11,1.10,1.10,1.10,1.10,1.11,1.09,1.09,1.10,1.09,1.10,1.10,1.10,1.10,1.11,1.11,1.10,1.10,1.11,1.12,1.12,1.12,1.13,1.13,1.11,1.11,1.10,1.09,1.09,1.07,1.06,1.06,1.07,1.07,1.07,1.07,1.07,1.09,1.15,1.11,1.08,1.09
IUS7 Bought,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Value Bought,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400,400
Portfolio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SXR8 #,0.29,0.59,0.87,1.15,1.43,1.70,1.98,2.25,2.51,2.75,3.00,3.23,3.47,3.71,3.95,4.19,4.44,4.69,4.94,5.17,5.40,5.635,5.867,6.106,6.332,6.547,6.763,6.969,7.177,7.380,7.596,7.811,8.026,8.256,8.471,8.677,8.875,9.071,9.275,9.465,9.660,9.848,10.037,10.219,10.398,10.571,10.738,10.921,11.130,11.320,11.501,11.678
EUNH #,1.21,2.42,3.62,4.81,6.00,7.18,8.37,9.58,10.80,12.02,13.27,14.50,15.74,16.97,18.20,19.43,20.66,21.88,23.11,24.33,25.56,26.793,28.014,29.228,30.451,31.676,32.900,34.133,35.366,36.614,37.865,39.107,40.336,41.560,42.778,43.996,45.196,46.392,47.571,48.713,49.847,50.964,52.084,53.224,54.371,55.516,56.650,57.770,58.926,60.081,61.233,62.368
SXRT #,0.56,1.14,1.71,2.30,2.88,3.44,4.01,4.57,5.13,5.64,6.17,6.66,7.15,7.62,8.09,8.56,9.04,9.52,9.98,10.43,10.88,11.368,11.850,12.326,12.781,13.240,13.705,14.183,14.662,15.138,15.638,16.136,16.644,17.170,17.671,18.151,18.612,19.071,19.536,19.976,20.442,20.890,21.340,21.763,22.185,22.595,23.008,23.465,24.024,24.562,25.022,25.475
IBCS #,1.11,2.21,3.32,4.41,5.48,6.56,7.64,8.73,9.84,10.94,12.05,13.15,14.25,15.35,16.45,17.55,18.65,19.74,20.84,21.92,23.02,24.123,25.226,26.328,27.436,28.543,29.648,30.747,31.860,32.984,34.107,35.230,36.363,37.494,38.609,39.715,40.813,41.902,42.992,44.062,45.124,46.184,47.250,48.321,49.395,50.467,51.533,52.619,53.766,54.871,55.953,57.038
IUS7 #,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
SXR8 $,€50.00,€98.33,€153.36,€204.41,€260.45,€310.52,€358.99,€406.46,€493.42,€566.20,€602.29,€696.45,€730.24,€774.00,€815.55,€855.90,€890.67,€937.40,"€1,019.97","€1,101.95","€1,180.75","€1,190.11","€1,264.37","€1,279.07","€1,401.73","€1,519.98","€1,569.92","€1,688.42","€1,727.55","€1,813.65","€1,755.44","€1,817.31","€1,868.95","€1,791.66","€1,977.89","€2,104.55","€2,239.58","€2,309.10","€2,280.64","€2,481.35","€2,485.92","€2,608.93","€2,664.75","€2,805.99","€2,902.59","€3,056.46","€3,206.36","€2,988.01","€2,658.61","€2,981.97","€3,188.64","€3,293.39"
EUNH $,€150.00,€299.85,€450.81,€605.16,€761.42,€908.42,"€1,055.91","€1,189.83","€1,321.83","€1,486.20","€1,591.98","€1,758.56","€1,907.84","€2,067.12","€2,225.10","€2,366.18","€2,524.44","€2,684.87","€2,818.90","€3,001.95","€3,116.19","€3,252.44","€3,439.95","€3,612.58","€3,735.11","€3,879.02","€4,031.55","€4,151.94","€4,303.65","€4,401.10","€4,537.04","€4,726.42","€4,922.17","€5,091.94","€5,269.82","€5,418.07","€5,646.38","€5,821.69","€6,052.88","€6,394.59","€6,594.76","€6,842.96","€6,979.20","€7,000.55","€7,112.76","€7,273.09","€7,491.93","€7,738.80","€7,640.40","€7,806.90","€7,973.96","€8,240.30"
